NPD_WELL_BORE_NAME,DATE,production_age_months,oil_volume,on_stream_hours,oil_per_on_stream_hour,water_cut_pct,gas_oil_ratio,oil_volume_lag_1,oil_volume_lag_2,oil_volume_lag_3,oil_volume_recent_mean_3,target_next_month_oil_volume,is_latest_available_origin
15/9-F-12,2013-02-01,60,15087.38,672.0,22.45145833333333,89.3309673055102,163.1329309661452,17408.57,16320.65,19018.88,16272.200000000004,6305.81,False
15/9-F-12,2013-03-01,61,6305.81,307.76833,20.48882027595237,90.05809395021677,167.09441293029758,15087.38,17408.57,16320.65,12933.92,12351.34,False
15/9-F-12,2013-04-01,62,12351.34,513.46573,24.054847827916383,89.28734950684222,166.40233853168968,6305.81,15087.38,17408.57,11248.176666666666,16313.4,False
15/9-F-12,2013-05-01,63,16313.4,732.05834,22.28428952807231,90.02104808051037,169.04846138757097,12351.34,6305.81,15087.38,11656.85,11899.57,False
15/9-F-12,2013-06-01,64,11899.57,566.675,20.99893236864164,90.4389361799229,171.20112995679676,16313.4,12351.34,6305.81,13521.436666666666,11861.63,False
15/9-F-12,2013-07-01,65,11861.63,581.275,20.40622768913165,90.43680771619378,161.84137171704057,11899.57,16313.4,12351.34,13358.2,15147.18,False
15/9-F-12,2013-08-01,66,15147.18,687.97685,22.01699083333981,90.99144063214632,155.42440837172333,11861.63,11899.57,16313.4,12969.46,9223.53,False
15/9-F-12,2013-09-01,67,9223.53,589.985,15.633499156758225,91.90221869794316,156.86177743228458,15147.18,11861.63,11899.57,12077.446666666665,8305.01,False
15/9-F-12,2013-10-01,68,8305.01,680.0,12.21325,94.30538187734018,154.55532263055673,9223.53,15147.18,11861.63,10891.906666666668,7170.56,False
15/9-F-12,2013-11-01,69,7170.56,648.64167,11.054732268434128,94.49112368074827,153.8181439106569,8305.01,9223.53,15147.18,8233.033333333335,7079.52,False
15/9-F-12,2013-12-01,70,7079.52,633.4,11.177012946005684,94.67460134657472,155.5738990779036,7170.56,8305.01,9223.53,7518.363333333334,4997.24,False
15/9-F-12,2014-01-01,71,4997.24,486.14168,10.27939015638404,94.56984053679604,153.32377872585667,7079.52,7170.56,8305.01,6415.7733333333335,6101.4,False
15/9-F-12,2014-02-01,72,6101.4,561.9,10.858515750133476,94.75821409861196,151.10745238797654,4997.24,7079.52,7170.56,6059.386666666665,6835.66,False
15/9-F-12,2014-03-01,73,6835.66,656.72426,10.408721614761118,94.90586409218668,151.56856543479344,6101.4,4997.24,7079.52,5978.099999999999,5892.01,False
15/9-F-12,2014-04-01,74,5892.01,693.01833,8.501954053653964,95.9928339042674,149.9666497511036,6835.66,6101.4,4997.24,6276.356666666667,3237.7,False
15/9-F-12,2014-05-01,75,3237.7,427.32999,7.576580337832127,96.48022372109833,145.0610000926584,5892.01,6835.66,6101.4,5321.79,5751.2,False
15/9-F-12,2014-06-01,76,5751.2,707.33333,8.130820019466634,96.35506041478487,147.227316038392,3237.7,5892.01,6835.66,4960.303333333333,5791.84,False
15/9-F-12,2014-07-01,77,5791.84,743.16667,7.793460382177797,96.33674121106684,149.183321707782,5751.2,3237.7,5892.01,4926.913333333333,4448.49,False
15/9-F-12,2014-08-01,78,4448.49,593.36666,7.497033958733036,96.60621595241535,158.3769234054702,5791.84,5751.2,3237.7,5330.51,5062.59,False
15/9-F-12,2014-09-01,79,5062.59,685.83333,7.38166224729848,96.72193509941862,158.8061980132699,4448.49,5791.84,5751.2,5100.973333333333,5385.61,False
15/9-F-12,2014-10-01,80,5385.61,745.0,7.229006711409395,96.64972517483376,154.69381741344063,5062.59,4448.49,5791.84,4965.563333333333,4495.06,False
15/9-F-12,2014-11-01,81,4495.06,580.94167,7.737541016811549,96.22757640923108,155.94857910684175,5385.61,5062.59,4448.49,4981.086666666666,0.0,False
15/9-F-12,2014-12-01,82,0.0,0.0,,,,4495.06,5385.61,5062.59,3293.556666666666,25712.55,False
15/9-F-12,2015-01-01,83,25712.55,715.58333,35.93229316842805,31.06697261209353,147.02779109812136,0.0,4495.06,5385.61,10069.203333333331,19578.55,False
15/9-F-12,2015-02-01,84,19578.55,622.79666,31.436504492493587,43.56798932381777,151.2203018098889,25712.55,0.0,4495.06,15097.033333333333,19341.43,False
15/9-F-12,2015-03-01,85,19341.43,665.125,29.079391091900018,49.88889058734739,147.52956890984794,19578.55,25712.55,0.0,21544.176666666663,19796.56,False
15/9-F-12,2015-04-01,86,19796.56,720.0,27.495222222222225,51.24554792040905,145.9543961173052,19341.43,19578.55,25712.55,19572.18,16996.48,False
15/9-F-12,2015-05-01,87,16996.48,744.0,22.844731182795694,59.72141352138324,145.89023138908763,19796.56,19341.43,19578.55,18711.49,19536.3,False
15/9-F-12,2015-06-01,88,19536.3,709.31667,27.54242332976609,62.74469869551239,146.37915572549562,16996.48,19796.56,19341.43,18776.446666666667,19157.45,False
15/9-F-12,2015-07-01,89,19157.45,744.0,25.749260752688173,65.56767517440424,148.60124494648295,19536.3,16996.48,19796.56,18563.41,13473.27,False
