NPD_WELL_BORE_NAME,YEAR_MONTH,oil_volume,water_volume,DATE,total_liquid_volume,water_cut_pct
15/9-F-14,2014-01,16686.58,106725.74,2014-01-01,123412.32,86.4789998275699
15/9-F-14,2014-02,14766.13,96430.28,2014-02-01,111196.41,86.72067740316436
15/9-F-14,2014-03,14954.84,101501.18,2014-03-01,116456.01999999999,87.15837961833145
15/9-F-14,2014-04,16572.24,104862.29,2014-04-01,121434.53,86.35294261031025
15/9-F-14,2014-05,13637.02,98851.21,2014-05-01,112488.23000000001,87.87693610255934
15/9-F-14,2014-06,13257.99,103420.97,2014-06-01,116678.96,88.637205885277
15/9-F-14,2014-07,13495.98,99765.12,2014-07-01,113261.09999999999,88.08418777497306
15/9-F-14,2014-08,8443.73,82815.84,2014-08-01,91259.56999999999,90.74756762496251
15/9-F-14,2014-09,9622.21,97941.37,2014-09-01,107563.57999999999,91.05439778036396
15/9-F-14,2014-10,10076.22,104963.4,2014-10-01,115039.62,91.24108720108777
15/9-F-14,2014-11,10386.41,103384.87,2014-11-01,113771.28,90.87079797291548
15/9-F-14,2014-12,9665.11,100254.94,2014-12-01,109920.05,91.20714555715722
15/9-F-14,2015-01,9120.98,95024.85,2015-01-01,104145.83,91.24210734121569
15/9-F-14,2015-02,7178.8,91844.46,2015-02-01,99023.26000000001,92.75039016085715
15/9-F-14,2015-03,8069.04,107454.33,2015-03-01,115523.37,93.01523146355582
15/9-F-14,2015-04,7687.2,101303.06,2015-04-01,108990.26,92.94689268563998
15/9-F-14,2015-05,7147.79,102927.47,2015-05-01,110075.26,93.506451858483
15/9-F-14,2015-06,6069.93,100367.07,2015-06-01,106437.0,94.29716170128809
15/9-F-14,2015-07,6720.74,96224.54,2015-07-01,102945.28,93.47154138587024
15/9-F-14,2015-08,4876.31,79596.64,2015-08-01,84472.95,94.22737101048324
15/9-F-14,2015-09,5300.41,84511.31,2015-09-01,89811.72,94.09830921844053
15/9-F-14,2015-10,5634.86,97864.97,2015-10-01,103499.83,94.55568187889777
15/9-F-14,2015-11,5431.56,96061.08,2015-11-01,101492.64,94.64832129699258
15/9-F-14,2015-12,5158.09,94593.75,2015-12-01,99751.84,94.82907783956666
15/9-F-14,2016-01,4606.3,97147.72,2016-01-01,101754.02,95.47310268429689
15/9-F-14,2016-02,3941.77,86357.85,2016-02-01,90299.62000000001,95.63478783188677
15/9-F-14,2016-03,3753.8,98119.24,2016-03-01,101873.04000000001,96.31521745105476
15/9-F-14,2016-04,3112.41,91934.95,2016-04-01,95047.36,96.72541141595094
15/9-F-14,2016-05,3212.96,89415.55,2016-05-01,92628.51000000001,96.53134871758165
15/9-F-14,2016-06,3075.0299999999997,88380.72,2016-06-01,91455.75,96.63768543803971
